itemid,hotelid,hotelname,address,city,country,propertytype,starrating,roomamenities,roomtype,ratedescription,average_price
1,31,The Harmonie Vienna  BW Premier Collection,Harmoniegasse 5-7,Vienna,Austria,Hotels,4,Air conditioning ;Alarm clock ;Bathrobes ;Closet ;Coffeetea maker ;Daily newspaper ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Ironing facilities ;Laptop safe box ;Linens ;Mini bar ;Mirror ;On-demand movies ;Satellitecable channels ;Seating area ;Smoke detector ;Soundproofing ;Telephone ;Toiletries ;Towels ;Trouser press ;Wake-up service ;,Comfort Double Room,Room size 27 m_square291 ft_square City view Non-smoking Shower 1 double bed,132.49
2,31,The Harmonie Vienna  BW Premier Collection,Harmoniegasse 5-7,Vienna,Austria,Hotels,4,Air conditioning ;Alarm clock ;Bathrobes ;Closet ;Coffeetea maker ;Daily newspaper ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Ironing facilities ;Laptop safe box ;Linens ;Mini bar ;Mirror ;Satellitecable channels ;Seating area ;Smoke detector ;Soundproofing ;Telephone ;Toiletries ;Towels ;Trouser press ;Wake-up service ;,Classic Double or Twin Room,Room size 20 m_square215 ft_square City view Non-smoking Shower and bathtub 2 single beds or 1 double bed,132.49
3,31,The Harmonie Vienna  BW Premier Collection,Harmoniegasse 5-7,Vienna,Austria,Hotels,4,Air conditioning ;Alarm clock ;Bathrobes ;Closet ;Coffeetea maker ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Ironing facilities ;Laptop safe box ;Linens ;Mini bar ;Mirror ;On-demand movies ;Satellitecable channels ;Seating area ;Shower ;Smoke detector ;Sofa ;Soundproofing ;Telephone ;Toiletries ;Towels ;Trouser press ;Wake-up service ;,Superior Double Room,Room size 33 m_square355 ft_square City view Non-smoking Bathtub 1 double bed,132.49
4,31,The Harmonie Vienna  BW Premier Collection,Harmoniegasse 5-7,Vienna,Austria,Hotels,4,Air conditioning ;Bathrobes ;Blackout curtains ;Closet ;Coffeetea maker ;Daily housekeeping ;Dart board ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Ironing facilities ;Laptop safe box ;Linens ;Mini bar ;Mirror ;Satellitecable channels ;Seating area ;Shower ;Slippers ;Smoke detector ;Telephone ;Toiletries ;Towels ;Wake-up service ;,Suite,Room size 35 m_square377 ft_square Bathtub 1 double bed,132.49
5,31,The Harmonie Vienna  BW Premier Collection,Harmoniegasse 5-7,Vienna,Austria,Hotels,4,Air conditioning ;Blackout curtains ;Coffeetea maker ;Daily housekeeping ;Dart board ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;In-room safe box ;Mini bar ;Satellitecable channels ;Shower ;Slippers ;Toiletries ;,Classic Double or Twin Room,Free Breakfast Pay nothing until November 8 2019 Free Wi-Fi Free cancellation before November 10 2019,132.49
6,31,The Harmonie Vienna  BW Premier Collection,Harmoniegasse 5-7,Vienna,Austria,Hotels,4,Air conditioning ;Blackout curtains ;Coffeetea maker ;Daily housekeeping ;Dart board ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;In-room safe box ;Mini bar ;Satellitecable channels ;Shower ;Slippers ;Toiletries ;,Comfort Room,Free Breakfast Pay nothing until November 8 2019 Free Wi-Fi Free cancellation before November 10 2019,132.49
7,31,The Harmonie Vienna  BW Premier Collection,Harmoniegasse 5-7,Vienna,Austria,Hotels,4,Air conditioning ;Blackout curtains ;Coffeetea maker ;Daily housekeeping ;Dart board ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;In-room safe box ;Mini bar ;Satellitecable channels ;Shower ;Slippers ;Toiletries ;,Run of House,Free Breakfast Free Wi-Fi Cancellation policy,132.49
8,31,The Harmonie Vienna  BW Premier Collection,Harmoniegasse 5-7,Vienna,Austria,Hotels,4,Air conditioning ;Blackout curtains ;Coffeetea maker ;Daily housekeeping ;Dart board ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;In-room safe box ;Mini bar ;Satellitecable channels ;Shower ;Slippers ;Toiletries ;,Suite-1 Double Bed Living Room,Free Breakfast Pay nothing until November 8 2019 Free Wi-Fi Free cancellation before November 10 2019,132.49
9,31,The Harmonie Vienna  BW Premier Collection,Harmoniegasse 5-7,Vienna,Austria,Hotels,4,Air conditioning ;Blackout curtains ;Coffeetea maker ;Daily housekeeping ;Dart board ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;In-room safe box ;Mini bar ;Satellitecable channels ;Shower ;Slippers ;Toiletries ;,Superior Room,Free Breakfast Pay nothing until November 8 2019 Free Wi-Fi Free cancellation before November 10 2019,132.49
10,31,The Harmonie Vienna  BW Premier Collection,Harmoniegasse 5-7,Vienna,Austria,Hotels,4,Air conditioning ;Free Wi-Fi in all rooms ;In-room safe box ;Shower ;TV ;,Double Non Smoking,Free Breakfast Pay nothing until December 8 2019 Free Wi-Fi Free cancellation before December 10 2019,132.49
11,1429,Hotel Villa Carlton,Markus-Sittikus-Strasse 3,Salzburg,Austria,Hotels,4,Air conditioning ;Blackout curtains ;Closet ;Daily housekeeping ;Desk ;Free bottled water ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;iPod docking station ;Satellitecable channels ;Telephone ;Toiletries ;Wake-up service ;Woodenparqueted flooring ;,Superior Double Room,Room size 33 m_square355 ft_square Shower 1 double bed or 2 single beds,245.575
12,1429,Hotel Villa Carlton,Markus-Sittikus-Strasse 3,Salzburg,Austria,Hotels,4,Air conditioning ;Blackout curtains ;Daily housekeeping ;Desk ;Free bottled water ;Free Wi-Fi in all rooms ;Hair dryer ;In-room safe box ;Satellitecable channels ;Shower ;Toiletries ;,Run of House,Free Breakfast Pay nothing until October 14 2019 Free Wi-Fi Free cancellation before October 16 2019,245.575
13,1429,Hotel Villa Carlton,Markus-Sittikus-Strasse 3,Salzburg,Austria,Hotels,4,Air conditioning ;Closet ;Desk ;Free bottled water ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;iPod docking station ;Satellitecable channels ;Shower ;Telephone ;Toiletries ;Wake-up service ;Woodenparqueted flooring ;,Suite with Balcony,Room size 35 m_square377 ft_square Balconyterrace 1 double bed,245.575
14,1429,Hotel Villa Carlton,Markus-Sittikus-Strasse 3,Salzburg,Austria,Hotels,4,Air conditioning ;Closet ;Desk ;Free bottled water ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;iPod docking station ;Satellitecable channels ;Telephone ;Toiletries ;Wake-up service ;Woodenparqueted flooring ;,Premium Double Room,Room size 26 m_square280 ft_square Shower 2 single beds or 1 double bed,245.575
15,1429,Hotel Villa Carlton,Markus-Sittikus-Strasse 3,Salzburg,Austria,Hotels,4,Air conditioning ;Closet ;Desk ;Free bottled water ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Satellitecable channels ;Shower ;Telephone ;Toiletries ;Wake-up service ;Woodenparqueted flooring ;,Comfort Double Room,Room size 22 m_square237 ft_square 2 single beds or 1 double bed,245.575
16,1429,Hotel Villa Carlton,Markus-Sittikus-Strasse 3,Salzburg,Austria,Hotels,4,Air conditioning ;Free Wi-Fi in all rooms ;In-room safe box ;Shower ;TV ;,Double Or Twin Standard,Free Breakfast Pay nothing until November 29 2019 Free Wi-Fi Free cancellation before December 1 2019,245.575
17,1429,Hotel Villa Carlton,Markus-Sittikus-Strasse 3,Salzburg,Austria,Hotels,4,Air conditioning ;Free Wi-Fi in all rooms ;In-room safe box ;Shower ;TV ;,Double Single Use Standard,Free Breakfast Pay nothing until November 29 2019 Free Wi-Fi Free cancellation before December 1 2019,245.575
18,1520,Hotel IMLAUER & Brau,Rainerstrasse 12-14,Salzburg,Austria,Hotels,4,Air conditioning ;Blackout curtains ;Closet ;Coffeetea maker ;Daily housekeeping ;Dart board ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;Heating ;In-room safe box ;Mini bar ;Satellitecable channels ;Smoke detector ;Soundproofing ;Telephone ;Toiletries ;Wake-up service ;,Superior Double Room,Room size 20 m_square215 ft_square Separate showerbathtub 2 single beds,204.585
19,1520,Hotel IMLAUER & Brau,Rainerstrasse 12-14,Salzburg,Austria,Hotels,4,Air conditioning ;Blackout curtains ;Coffeetea maker ;Daily housekeeping ;Dart board ;Desk ;Free Wi-Fi in all rooms ;Hair dryer ;In-room safe box ;Mini bar ;Satellitecable channels ;Soundproofing ;Telephone ;Toiletries ;,Family Room,Separate showerbathtub,204.585
